# Starting Date: Sun Oct 20 09:17:01 AEDT 2019
# Termination Date: Sun Oct 20 09:17:07 AEDT 2019
# Time Used: 00:06
# Directory: /short/ep0/hm1876/TEOS/Dissociative-Adsorption/Si-O/100/2-D
# File: /short/ep0/hm1876/TEOS/Dissociative-Adsorption/Si-O/100/2-D/CeO2-06.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 79 	 -40955.9465502680 	 8	 	 0.006271 NO	 	 0.000472 NO	 	 0.000376 YES	 	 0.000028 YES	           0.001
 	 80 	 -40955.9465395960 	 3	 	 0.006261 NO	 	 0.000469 NO	 	 0.000378 YES	 	 0.000028 YES	           0.000
 	 81 	 -40955.9465464850 	 7	 	 0.006270 NO	 	 0.000467 NO	 	 0.000750 YES	 	 0.000055 YES	           0.001
 	 82 	 -40955.9465599790 	 6	 	 0.006270 NO	 	 0.000463 NO	 	 0.001548 YES	 	 0.000110 YES	           0.003
 	 83 	 -40955.9465859480 	 3	 	 0.006217 NO	 	 0.000452 NO	 	 0.003270 NO	 	 0.000221 YES	           0.005
 	 84 	 -40955.9466391060 	 9	 	 0.006282 NO	 	 0.000444 NO	 	 0.006575 NO	 	 0.000442 YES	           0.010
 	 85 	 -40955.9467415240 	 7	 	 0.006259 NO	 	 0.000424 NO	 	 0.014088 NO	 	 0.000884 YES	           0.020
 	 86 	 -40955.9469336010 	 9	 	 0.006208 NO	 	 0.000402 NO	 	 0.029446 NO	 	 0.001768 NO	           0.041
 	 87 	 -40955.9472901970 	 12	 	 0.006074 NO	 	 0.000379 NO	 	 0.060180 NO	 	 0.003536 NO	           0.082
 	 88 	 -40955.9479217120 	 13	 	 0.005703 NO	 	 0.000367 NO	 	 0.106142 NO	 	 0.007071 NO	           0.163
 	 89 	 -40955.9488889160 	 13	 	 0.004198 NO	 	 0.000426 NO	 	 0.204669 NO	 	 0.014143 NO	           0.326
 	 90 	 -40955.9492660000 	 15	 	 0.008871 NO	 	 0.000761 NO	 	 0.030835 NO	 	 0.003536 NO	           0.082
 	 91 	 -40955.9496052210 	 11	 	 0.005905 NO	 	 0.000555 NO	 	 0.058317 NO	 	 0.007071 NO	           0.163
 	 92 	 -40955.9499052410 	 13	 	 0.004655 NO	 	 0.000420 NO	 	 0.072468 NO	 	 0.009371 NO	           0.326
 	 93 	 -40955.9501881510 	 11	 	 0.002644 NO	 	 0.000322 NO	 	 0.051855 NO	 	 0.005332 NO	           0.652
 	 94 	 -40955.9503365320 	 15	 	 0.002207 NO	 	 0.000294 YES	 	 0.069060 NO	 	 0.011343 NO	           1.300
 	 95 	 -40955.9504861070 	 11	 	 0.001103 NO	 	 0.000237 YES	 	 0.044167 NO	 	 0.005132 NO	           2.610
 	 96 	 -40955.9505765390 	 14	 	 0.000865 NO	 	 0.000198 YES	 	 0.020711 NO	 	 0.003630 NO	           4.000
 	 97 	 -40955.9506613240 	 10	 	 0.000801 NO	 	 0.000151 YES	 	 0.029754 NO	 	 0.005159 NO	           4.000
 	 98 	 -40955.9507516460 	 11	 	 0.000676 NO	 	 0.000142 YES	 	 0.013790 NO	 	 0.002706 NO	           4.000
 	 99 	 -40955.9507816480 	 12	 	 0.000441 YES	 	 0.000114 YES	 	 0.009682 NO	 	 0.001656 NO	           4.000
 	 100 	 -40955.9507945980 	 7	 	 0.000373 YES	 	 0.000087 YES	 	 0.013553 NO	 	 0.002271 NO	           4.000
 	 101 	 -40955.9508062760 	 9	 	 0.000274 YES	 	 0.000069 YES	 	 0.009445 NO	 	 0.001521 NO	           4.000
 	 102 	 -40955.9508112710 	 11	 	 0.000320 YES	 	 0.000063 YES	 	 0.009805 NO	 	 0.001575 NO	           4.000
 	 103 	 -40955.9508194630 	 10	 	 0.000256 YES	 	 0.000055 YES	 	 0.011957 NO	 	 0.001791 NO	           4.000
 	 104 	 -40955.9508285820 	 8	 	 0.000192 YES	 	 0.000047 YES	 	 0.003524 NO	 	 0.000644 YES	           4.000
 	 105 	 -40955.9508308880 	 8	 	 0.000139 YES	 	 0.000038 YES	 	 0.005479 NO	 	 0.000973 YES	           4.000
 	 106 	 -40955.9508308850 	 8	 	 0.000127 YES	 	 0.000033 YES	 	 0.001454 YES	 	 0.000243 YES	           0.006
 	 107 	 -40955.9535405260 	 10	 	 0.004852 NO	 	 0.000374 NO	 	 0.003223 NO	 	 0.000243 YES	           0.000
 	 108 	 -40955.9535720960 	 7	 	 0.004787 NO	 	 0.000369 NO	 	 0.007016 NO	 	 0.000487 YES	           0.011
 	 109 	 -40955.9536384830 	 11	 	 0.004641 NO	 	 0.000356 NO	 	 0.013140 NO	 	 0.000973 YES	           0.022
 	 110 	 -40955.9537585100 	 12	 	 0.004390 NO	 	 0.000336 NO	 	 0.024273 NO	 	 0.001947 NO	           0.045
